Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,T:System.Windows.TextWrapping,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,T:System.Windows.TextWrapping,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,F:System.Windows.TextWrapping.Wrap,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,T:System.Windows.TextWrapping,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,P:System.Windows.Controls.TextBlock.TextWrapping,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,P:System.Windows.Controls.TextBlock.Text,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,T:System.Windows.Controls.TextBlock,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,M:System.Windows.Controls.TextBlock.#ctor,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,261,12,T:System.Windows.MessageBox,,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(e.Media), ""Host received a Media"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,261,12,T:System.Windows.MessageBoxResult,,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(e.Media), ""Host received a Media"");"
